time,mag_x,mag_y,mag_z
0.228931,-6.37561798,10.148531,-24.0181904
0.239131,-6.50573254,9.81024647,-24.3564758
0.249131,-6.63701868,9.47204018,-21.9886646
0.25933,-6.63584709,10.148531,-25.0330429
0.26933,-6.76596165,9.13367844,-23.3416214
0.279527,-6.89729404,9.81032753,-24.0183868
0.289527,-6.8936429,10.148366,-23.6795197
0.299715,-6.37561798,9.47196198,-24.0181904
0.309715,-6.63701868,10.4869013,-24.3566742
0.319911,-6.50573254,9.47196198,-24.6947594
0.329911,-6.63467598,9.81016731,-24.6945591
0.340111,-6.50917912,8.79560852,-25.3719463
0.350111,-6.63584709,7.10397196,-24.0181904
0.360305,-6.76715612,3.04458427,-22.6652393
0.370305,-6.76596165,7.44225597,-24.0181904
0.380501,-7.02619123,9.81024647,-25.0330429
0.390501,-7.28513432,9.13360405,-24.6945591
0.400701,-7.15504265,10.1484489,-25.3711224
0.410701,-7.02495098,9.13360405,-24.0179958
0.420901,-6.76476765,10.1484489,-25.0328407
0.430901,-7.28770685,10.1486139,-24.3566742
0.441097,-7.41522598,9.81016731,-25.0328407
0.451097,-7.28770685,10.4869013,-25.0332489
