time,dynamic_pressure,airspeed,airspeed_calibrated
5.020508,-49304.3906,307.015381,282.53239580079+0i
5.044682,-49043.2969,305.944214,281.991621602312+0i
5.068508,-48956.2695,305.264313,281.883381659732+0i
5.092511,-48646.8359,305.068024,281.150954795708+0i
5.116867,-48240.6953,304.219147,280.226467391314+0i
5.140511,-47960.2695,303.097168,279.611190782258+0i
5.164672,-47786.2188,302.268982,279.208426059265+0i
5.188511,-47612.1602,301.782349,278.8747004867+0i
5.212511,-47283.3828,301.408905,278.126240728106+0i
5.237026,-47031.9609,300.441345,277.542418010921+0i
5.260517,-46828.8945,299.767059,277.081014857167+0i
5.284803,-46606.4883,299.119202,276.552130000268+0i
5.308511,-46442.0977,298.593781,276.223945528687+0i
5.332511,-46113.3203,298.190491,275.41210505692+0i
5.35652,-45968.2773,297.195465,275.137027310214+0i
5.380511,-45610.4844,296.848938,274.239115315146+0i
5.404685,-45504.1172,295.762817,274.044886310607+0i
5.428511,-45252.7031,295.545776,273.463701296281+0i
5.452514,-44972.2773,294.784546,272.819295067738+0i
5.476877,-44769.2109,293.988708,272.353298393585+0i
5.500514,-44556.4727,293.450928,271.850265838899+0i
5.524672,-44382.4141,292.818329,271.433437782755+0i
5.548511,-44150.3359,292.306824,270.9177394377+0i
5.572511,-43918.2539,291.65152,270.377887345989+0i
5.597035,-43773.2109,290.99942,270.025437370677+0i
5.62052,-43502.4453,290.640747,269.334199208191+0i
5.6447,-43260.7031,289.740448,268.781315859855+0i
5.66852,-43144.6641,289.110016,268.556192732584+0i
5.692514,-42912.5859,288.843597,267.988115415751+0i
5.716825,-42661.1719,288.118683,267.396264019231+0i
5.740514,-42438.7617,287.400574,266.825308915389+0i
5.764685,-42226.0234,286.713379,266.280244905545+0i
5.788514,-42080.9727,286.114685,265.95976591374+0i
5.812514,-41935.9258,285.676788,265.643174732576+0i
5.836925,-41645.8281,285.297668,264.871491918795+0i
5.860514,-41481.4375,284.412628,264.517664855241+0i
5.884694,-41288.043,283.90976,263.998888924111+0i
5.908514,-41026.9531,283.313812,263.330583818801+0i
5.932517,-40814.2148,282.520386,262.840753808373+0i
5.956822,-40630.4922,281.911835,262.386219164181+0i
5.98052,-40282.3711,281.384644,261.44170709204+0i
6.004715,-40127.6562,280.176605,261.092016730563+0i
6.028514,-39905.2461,279.809235,260.474922669079+0i
6.052514,-39731.1914,279.151855,260.068688803702+0i
6.076825,-39470.1016,278.603271,259.420903952257+0i
6.100514,-39392.7422,277.786285,259.239730960754+0i
6.124688,-39286.3711,277.572937,258.985496854271+0i
6.148517,-39092.9766,277.304871,258.489867807439+0i
6.172517,-38812.5508,276.669556,257.707148019903+0i
6.196883,-38686.8398,275.796112,257.422616284143+0i
6.220517,-38512.7812,275.450348,256.953134984078+0i
6.244678,-38280.707,274.87735,256.346356740075+0i
6.268517,-38125.9922,274.112122,255.91183554389+0i
6.292517,-37410.418,273.689667,253.59934208647+0i
6.316563,-37091.3086,270.822845,252.491328056589+0i
6.34052,-36714.1836,269.158752,251.310122171282+0i
6.364703,-36462.7617,267.786926,250.596937300764+0i
6.388517,-36211.3477,266.794983,249.926256300629+0i
6.41252,-36046.957,266.063171,249.442070406291+0i
6.437919,-35708.5117,265.58667,248.617846630804+0i
6.460517,-35553.793,264.597931,248.243136089609+0i
6.48551,-35428.082,264.138153,247.834056372503+0i
6.508517,-35196.0117,263.861877,247.196918326431+0i
6.53252,-34809.2148,263.108582,246.15822801433+0i
6.556523,-34702.8477,261.826477,245.913718683203+0i
